Isolate	Region	PC1	PC2	PC3
98-13025	Spring	-42.62265368	-9.017456047	16.10458035
98-13042	Spring	-44.10080401	-5.753952418	18.09925836
98-13050	Spring	-22.5636213	-2.97458216	5.8652143
98-13063	Spring	-20.29384052	9.644810472	-53.209028
98-13066	Spring	-21.93671047	16.46165867	-73.80190672
98-13082	Spring	-42.04956138	2.319534229	-38.53749026
98-13091	Spring	-32.17091717	1.885049195	-13.50232507
AR1-1	Winter	5.405845824	1.44626554	0.861137372
AR2-1	Winter	66.86589799	24.01573313	17.96406722
AR3-1	Winter	54.00111911	17.80733338	13.58379004
AR4-1	Winter	55.76230568	14.21685615	10.0212104
AR5-1	Winter	55.81209883	16.21715878	11.63027324
AR6-1	Winter	52.19515039	17.8174918	12.75424248
BBC03Sn-1	Spring	-50.1124905	-10.55384873	16.65426269
BBC03Sn3	Spring	-40.38921161	-9.666777165	13.69031416
BBC03Sn5	Spring	-48.13683263	-7.082818642	6.864079467
BBC04-Sn-5	Spring	-49.15998189	-3.409540921	6.409773153
BBC04Sn-1	Spring	-41.77362342	-2.711141312	-1.061078894
BBC04Sn-2	Spring	-48.14785092	-7.899094412	6.236476968
BBC04Sn6	Spring	-46.43361137	-0.174072148	-2.474934388
FGON10-Sn-4	Spring	-0.139401705	0.004798246	0.052239602
FgoG10Sn-1	Spring	-42.52591859	-4.630717003	9.971047642
FgoN10Sn-2	Spring	-45.54785572	-5.357676185	2.587824584
FgoN10Sn3	Spring	-16.42663028	-2.742141758	1.790781033
GA9-1	Winter	66.20131696	25.67225766	16.78841331
GA9-2	Winter	63.37443417	22.0820523	14.164595
GA9-3	Winter	66.92703356	27.04292927	17.5231526
GA9-4	Winter	66.07842541	21.40698337	16.55581536
GA9-5	Winter	7.700037331	2.899690034	1.543287065
LDN03-Sn-11	Spring	-24.34872004	4.575151458	-33.91254395
LDN03-Sn-7	Spring	-31.42906921	8.895919098	-54.28640604
LDN03-Sn-8	Spring	-44.94212172	-7.064109266	12.91678757
LDN03-Sn-9	Spring	-52.74454451	-8.647428288	13.67758558
LDN03Sn-1	Spring	-44.76122769	3.95647516	-30.61732804
LDN03Sn-5	Spring	-55.34286446	-11.20584925	20.70565531
LDN03Sn-6	Spring	-46.98786464	-3.336863134	-4.099225245
LDN03Sn10	Spring	-24.07078027	-2.644350659	-3.487035366
LDN03Sn2	Spring	-14.61821374	1.582525999	-9.545518704
LDN03Sn3	Spring	-10.97943396	0.547552756	-3.93451092
LDN03Sn4	Spring	-7.883133018	-0.375489754	-0.935124642
LDN05-Sn-2	Spring	-26.44314904	3.442851998	-12.62005166
LDN05-Sn-4	Spring	-50.92827154	-6.979730058	5.901775447
LDN05-Sn-5	Spring	-40.60998728	-7.441570878	15.93128496
LDN07-Sn-1	Spring	-54.5370683	-3.811813482	-17.62781708
LDN07-Sn-2	Spring	-58.7997734	-7.288572645	15.05715339
LDN07-Sn-3	Spring	-48.1054473	0.217265637	-13.94319287
LDN07-Sn-4	Spring	-58.11196365	-4.329500691	-17.80961591
LDN07-Sn-5	Spring	-41.090526	-7.661239028	11.49303849
LDN08-Sn-1	Spring	-18.12867406	-3.270986395	6.464404428
LDN08-Sn-2	Spring	-53.20450604	-6.104280398	11.09014464
LDN08-Sn-3	Spring	-44.01842713	0.523017398	-17.76964446
LDN08-Sn-4	Spring	-26.71424226	9.410847977	-53.08951337
LDN08-Sn-5	Spring	-19.36302452	-3.129229583	4.212050788
MD4-1	Winter	56.63837136	25.95953294	14.64694558
MD4-2	Winter	57.62429896	26.81848798	15.2049486
MD4-3	Winter	9.868221163	4.122361227	1.925077725
MN-2	Spring	-25.68628703	-0.004854485	4.752460161
MN-3	Spring	-32.28613546	-3.657246098	11.94077622
MN-4	Spring	-47.78859227	-7.409456666	12.54544494
MN-5	Spring	-47.87077086	1.297734471	6.443952749
MN-6	Spring	-44.45873956	1.811690732	7.249614352
MN-7	Spring	-49.01014863	1.09569135	5.750935812
MN-8	Spring	-48.1709982	0.534957709	6.493676625
NC7-1	Winter	55.96922745	16.80810116	11.42256073
NC8-11	Winter	59.12692877	20.88645968	13.67076621
NC8-3	Winter	55.71681764	25.07380477	12.16017189
NC8-4	Winter	60.14718785	20.46431831	12.13496539
NC8-6	Winter	64.81609051	22.63576785	17.38996619
NC8-7	Winter	57.88951984	19.89172268	14.77577636
