taxa	pop	PC1	PC2	PC3
NDM16-Sn-7	Pop1	-180.9408215	-132.0590986	62.48984198
NDM16-Sn-9	Pop1	-176.7858379	-129.2342098	59.78129491
NDM16-Sn-10	Pop1	-176.1524213	-130.3365502	60.85982407
NDM16-Sn-8	Pop1	-175.3196389	-130.1693449	60.35834685
NDP16-Sn-11	Pop1	-164.3808612	-86.36850917	82.67894356
NDJ16-Sn-19	Pop1	-163.3475934	-86.32869079	81.95438048
NDJ16-Sn-1	Pop1	-160.0709311	-86.22026353	80.50508912
NDJ16-Sn-2	Pop1	-156.380157	-66.53273992	76.20152133
NDJ16-Sn-12	Pop1	-155.4170426	-54.3846805	75.91604357
NDJ16-Sn-16	Pop1	-151.5317982	-23.54331667	72.97595847
SDRF16-Sn-5	Pop1	-151.3384422	-102.9278189	51.65815383
SDRF16-Sn-4	Pop1	-145.2381579	-88.34699395	48.6050063
SDRF16-Sn-7	Pop1	-145.1727607	-99.5617354	11.67302857
SDRF16-Sn-2	Pop1	-144.7195041	-81.07231478	48.01943072
SDRF16-Sn-1	Pop1	-143.1625058	-99.11143463	11.6317773
SDRF16-Sn-8	Pop1	-141.1825178	-98.31908288	11.77529261
SDRF16-Sn-9	Pop1	-140.5095973	-98.80225016	11.520597
LDN07-Sn-2	Pop1	-139.6078599	-69.35075297	20.08119236
LDN07-Sn-4	Pop1	-139.083843	-18.98003508	4.599026853
NDM16-Sn-4	Pop1	-134.991692	-52.34512431	15.41361476
LDN03Sn-5	Pop1	-134.8319613	-78.21035008	30.30347351
LDN07-Sn-1	Pop1	-133.6003873	-18.79343631	3.323268058
LDN03-Sn-9	Pop1	-130.0046493	-48.57177687	24.7525411
LDN08-Sn-2	Pop1	-127.727909	-70.13093916	20.45993296
NDJ16-Sn-25	Pop1	-126.4898367	-52.10103741	21.73144078
LDN05-Sn-4	Pop1	-126.1162825	-58.89590844	18.71706566
NDJ16-Sn-7	Pop1	-126.0346084	-65.13861726	17.5663803
Sn50	Pop1	-125.6045917	-65.15581098	27.48576533
BBC03Sn-1	Pop1	-125.1067703	-66.17426078	27.29540587
NDJ16-Sn-5	Pop1	-125.0324879	-53.74965919	17.34286075
SDRF16-Sn-6	Pop1	-123.8367279	-38.82862082	38.06777166
BBC03Sn5	Pop1	-123.8241457	-29.84754057	18.97426361
NDJ16-Sn-6	Pop1	-122.9384582	-47.18114716	29.57039008
LDN03-Sn-8	Pop1	-122.4996284	-6.148463875	21.82222368
MN-7	Pop1	-121.5377857	-63.6561704	-7.200077534
MN-4	Pop1	-120.0008827	-61.77403892	20.14504616
MN-8	Pop1	-119.1999536	-65.54916662	-5.116367862
BBC04Sn-2	Pop1	-118.6110459	-51.75555231	19.85802385
BBC04-Sn-5	Pop1	-117.819733	-65.1189709	10.94225326
MN-5	Pop1	-117.8031297	-65.66078735	-7.042314304
NDJ16-Sn-17	Pop1	-117.7567009	16.57840413	29.72159396
LDN07-Sn-3	Pop1	-115.8653182	-30.8374349	-4.236655364
FgoN10Sn-2	Pop1	-115.0760114	-45.74029808	14.27307081
NDJ16-Sn-20	Pop1	-114.5265281	-30.49406479	10.46103199
NDJ16-Sn-15	Pop1	-113.4938508	-32.52899407	3.686379719
LDN03Sn-6	Pop1	-113.0800894	-36.09515597	9.686423559
BBC03Sn3	Pop1	-111.1978169	-20.93592488	27.48583513
BBC04Sn6	Pop1	-110.5766622	-38.40101265	1.570088237
LDN05-Sn-5	Pop1	-110.0335637	-26.97558458	22.27401262
MN-6	Pop1	-109.4958462	-66.34280354	-8.504922976
LDN08-Sn-3	Pop1	-109.1284077	-30.51347566	-7.686185887
Sn6	Pop1	-108.8267813	-57.80204097	13.33923909
NDJ16-Sn-9	Pop1	-108.1739293	-69.76028208	22.2405653
LDN03Sn-1	Pop1	-107.8674118	4.560812243	-16.41509918
NDJ16-Sn-21	Pop1	-107.5356567	56.99021933	21.12608255
98-13025	Pop1	-107.4851347	-69.291179	28.01253515
NDJ16-Sn-13	Pop1	-106.3996606	-68.90768356	22.00025141
LDN07-Sn-5	Pop1	-105.7254716	-47.37038562	20.55220971
98-13042	Pop1	-105.4413259	-74.51064426	20.27460148
FgoG10Sn-1	Pop1	-104.0747319	-59.33803267	15.05296203
98-13082	Pop1	-102.61353	21.39245725	-16.66520794
BBC04Sn-1	Pop1	-102.3849424	-46.72730026	11.52238607
NDP16-Sn-3	Pop1	-101.426151	13.19640189	-30.70038507
NDJ16-Sn-22	Pop1	-101.2837157	54.47120066	12.9399929
NDJ16-Sn-14	Pop1	-101.1601345	-38.95616632	18.79867501
NDJ16-Sn-8	Pop1	-100.0047996	-43.38114521	14.13611073
NDJ16-Sn-18	Pop1	-96.40017981	115.0544701	37.45844117
98-13091	Pop1	-95.9752332	92.14579202	-8.093093549
NDJ16-Sn-11	Pop1	-95.92437188	-61.70240094	18.40275121
NDJ16-Sn-24	Pop1	-95.85831455	-61.05505702	17.86372663
NDJ16-Sn-3	Pop1	-94.24565547	-10.84109551	17.87152793
NDM16-Sn-3	Pop1	-91.4957319	15.21156622	-6.965128549
MN-2	Pop1	-89.86021363	119.124998	-0.941769544
NDJ16-Sn-4	Pop1	-89.54441595	48.77280794	-37.8883224
NDP16-Sn-6	Pop1	-88.24797575	58.46287107	-50.12938324
NDP16-Sn-1	Pop1	-87.70479001	58.07856261	-49.83735969
NDP16-Sn-7	Pop1	-86.83360115	66.45952019	-61.5917386
MN-3	Pop1	-85.68487685	-46.76460737	10.98842361
LDN03Sn10	Pop1	-84.82327255	146.5271626	5.884186951
NDP16-Sn-10	Pop1	-84.06916212	74.01673941	-48.51658323
LDN03-Sn-7	Pop1	-83.06050084	54.2682777	-34.66534899
NDP16-Sn-4	Pop1	-82.68454665	36.0503468	-34.82324638
NDP16-Sn-2	Pop1	-81.95068976	63.82606528	-58.96875616
98-13050	Pop1	-80.60632338	145.5726067	10.53555337
LDN05-Sn-2	Pop1	-78.88585244	16.60390911	-9.164769564
NDP16-Sn-5	Pop1	-77.94779238	69.17359298	-53.71128398
NDM16-Sn-1	Pop1	-77.23498791	61.80827088	-60.89475862
LDN08-Sn-1	Pop1	-74.88360785	88.1793371	12.56794098
NDJ16-Sn-10	Pop1	-74.30913633	128.8630421	7.367775049
FgoN10Sn3	Pop1	-71.62957576	186.177087	4.816911474
98-13063	Pop1	-71.1948132	116.4041402	-44.05175918
LDN03-Sn-11	Pop1	-71.11104355	72.13052256	-20.48516958
LDN08-Sn-4	Pop1	-70.00231238	36.27843735	-33.44349427
NDJ16-Sn-23	Pop1	-68.93184752	77.88612194	-62.39913471
NDP16-Sn-12	Pop1	-67.80347422	70.41055079	-56.59587915
NDM16-Sn-6	Pop1	-65.43095881	58.51631235	-67.66345735
LDN03Sn2	Pop1	-65.16324853	193.8528028	-7.088656146
NDM16-Sn-5	Pop1	-61.78383922	27.98253061	-46.22003965
LDN08-Sn-5	Pop1	-60.24121135	44.26926292	3.686526109
98-13066	Pop1	-59.95527037	96.71341039	-61.11884538
LDN03Sn3	Pop1	-57.0657921	216.1296302	-4.03674789
Sn2000	Pop1	-55.80532	61.80052064	-46.41751545
LDN03Sn4	Pop1	-52.70936002	222.7859623	-1.611160786
NDM16-Sn-2	Pop1	-52.48845342	135.6642998	-19.74738212
OKG16-Sn-8	OK	-37.92436052	-11.53701391	-27.18503246
OKG16-Sn-12	OK	-37.29625467	37.75289428	-21.89969382
FGON10-Sn-4	Pop1	-35.35818878	234.0316999	-4.663832435
OKG16-Sn-6	OK	-30.19300783	-2.708236919	-38.10023543
AR1-1	Pop2	-16.08684896	220.540558	-7.256919873
SN351NY91	Pop2	-13.15217091	214.5663929	-8.909914305
SNOV92XD1.3	Pop2	-12.75861854	214.1121543	-7.102499815
GA9-5	Pop2	-12.63260201	229.1959348	-10.95511886
SN366NY91	Pop2	-7.844617586	217.2566233	-9.267615221
SN356NY91	Pop2	-7.810716459	230.1856227	-12.37126216
MD4-3	Pop2	-6.830161809	227.4821396	-14.94049587
OKG16-Sn-7	OK	-4.213956793	-17.07479113	-40.08644766
OKG16-Sn-15	OK	-0.622023589	-12.81246948	-35.69635497
OKG16-Sn-5	OK	7.421335104	-7.774825156	-36.28023498
OKG16-Sn-16	OK	7.72213945	-3.291459812	-34.21368716
OKG16-Sn-14	OK	17.35874917	-12.49682645	-51.82860634
OKG16-Sn-13	OK	17.61880038	23.1157116	-39.83936215
SnOre11-2	OR	18.76860181	176.8234287	67.10423679
OKG16-Sn-17	OK	25.05276687	-2.352882953	-44.68363266
OKG16-Sn-11	OK	28.04102153	8.363270003	-51.0992337
OKG16-Sn-1	OK	35.80416956	-6.775258	-41.2179605
OKG16-Sn-9	OK	37.8725573	2.489904337	-46.71631721
SN369NY91	Pop2	40.71186624	168.7933957	-18.67095698
OKG16-Sn-10	OK	43.13835003	-4.532740254	-47.28978064
OKG16-Sn-2	OK	44.47249884	0.126007311	-55.12662196
SN345NY91	Pop2	46.41420359	164.7549485	-11.77308461
OKG16-Sn-3	OK	54.96525353	7.090237571	-63.38858503
SN377NY91	Pop2	63.09900013	116.2407604	-20.9559164
OKG16-Sn-4	OK	79.41632265	-5.171814679	-67.81353258
SC3-1	Pop2	90.66421241	46.8550426	-27.98196019
OH03Sn801	Pop2	113.9333042	7.673241847	-33.08452256
OH03Sn84	Pop2	128.4769776	-7.012637886	-30.56344961
OH03Sn601	Pop2	130.419068	2.16372887	-35.96897115
